,0,1
0,1.9082694,-1.0398548
1,2.0656142,-1.1176322
2,2.1682532,-1.0707564
3,2.0822697,-1.3143333
4,2.1904788,-0.9431993
5,2.1667335,-1.0889897
6,2.1604443,-1.0184942
7,2.083707,-1.316063
8,2.0630317,-1.464086
9,2.0829954,-1.3152035
10,2.0820234,-1.3131509
11,2.1537552,-1.0192283
12,2.1508887,-1.0121319
13,2.170817,-0.96683395
14,2.12921,-1.2182742
15,2.0599198,-1.1101193
16,2.1476738,-1.3331561
17,2.147753,-1.3354394
18,2.1535528,-1.2597724
19,2.0820234,-1.3131509
20,2.1403148,-1.2185063
21,2.064513,-0.97450155
22,2.145855,-1.1931303
23,2.113449,-1.2535623
24,2.0820234,-1.3131509
25,1.9802614,-1.3045989
26,2.0844588,-1.3169795
27,2.021691,-1.380979
28,2.1099083,-1.3551017
29,2.1099083,-1.3551017
30,2.082102,-1.3135481
31,2.085016,-1.3110791
32,2.0994525,-1.3218048
33,2.1034603,-1.2771001
34,2.0933754,-1.31754
35,2.1056542,-1.3058898
36,1.9426607,-1.2605574
37,2.0852547,-1.317958
38,2.1106231,-1.2540566
39,2.1121163,-1.2511125
40,2.1115508,-1.2522264
41,2.0738802,-0.5425427
42,2.1440315,-1.3769776
43,2.0031772,-1.3675079
44,2.0057733,-1.3705662
45,2.054924,-1.3555863
46,2.1106231,-1.2540566
47,2.0384665,-1.3811529
48,2.0831409,-1.2393998
49,2.1371284,-1.303485
50,2.151645,-1.1095597
51,2.1024823,-1.3224205
52,2.085971,-1.2631453
53,2.014596,-1.3056263
54,2.1106231,-1.2540566
55,2.0421872,-1.3354007
56,2.170299,-1.2409602
57,2.0698893,-1.2452456
58,2.0859714,-1.2631453
59,2.0164182,-1.3078822
60,2.1106231,-1.2540566
61,2.0421872,-1.3354007
62,2.170299,-1.2409602
63,2.0690477,-1.220435
64,2.0820234,-1.3131509
65,1.9164913,-1.2141745
66,2.0820234,-1.3131509
67,2.0859714,-1.2631453
68,2.0820234,-1.3131509
69,2.1699066,-1.3323674
70,1.6951264,-1.0215862
71,1.9616202,-1.2065469
72,2.087945,-0.8689712
73,2.0822697,-1.3143333
74,2.1509922,-0.549578
75,2.2606032,-0.78938293
76,2.0797815,-1.0474992
77,2.083707,-1.316063
78,2.0599847,-1.5249344
79,2.0829954,-1.3152035
80,2.0820234,-1.3131509
81,2.1738896,-0.9706762
82,2.1722572,-0.9769259
83,2.1941695,-0.23784576
84,2.1478047,-1.0870975
85,1.9776667,-1.2106589
86,2.1490884,-1.333224
87,2.1472878,-1.3391541
88,2.1410246,-1.2016398
89,2.0820234,-1.3131509
90,2.079645,-1.2656678
91,2.0472896,-0.938736
92,2.1196294,-1.0979096
93,2.1577284,-1.154275
94,2.0820234,-1.3131509
95,1.8868517,-1.2327021
96,2.0844588,-1.3169795
97,1.9779897,-1.34723
98,2.0858002,-1.3578109
99,2.0858002,-1.3578109
100,2.082102,-1.3135481
101,2.0856562,-1.3091633
102,2.0994525,-1.3218048
103,2.1125855,-1.2618867
104,2.0933754,-1.31754
105,2.130121,-1.3014073
106,1.8869591,-1.3372577
107,2.0852547,-1.317958
108,2.1481152,-1.1762162
109,2.152095,-1.1640341
110,2.15058,-1.168688
111,2.0301216,-0.74009204
112,2.1478405,-1.4042245
113,1.9510337,-1.2873212
114,1.9547178,-1.2945943
115,2.0329537,-1.375119
116,2.1481152,-1.1762162
117,2.0243437,-1.3959888
118,2.0507104,-1.1983931
119,2.174996,-1.1640085
120,2.1072452,-1.0866199
121,2.1242352,-1.3266181
122,2.0865705,-1.258305
123,2.0116553,-1.3048607
124,2.1481152,-1.1762162
125,2.0243998,-1.3276333
126,2.2093122,-1.2287543
127,2.0412035,-1.2320795
128,2.0865705,-1.258305
129,2.0129104,-1.3063654
130,2.1481152,-1.1762162
131,2.0243998,-1.3276333
132,2.2093122,-1.2287543
133,2.0476863,-1.2821044
134,2.0820234,-1.3131509
135,1.748671,-1.1151364
136,2.0820234,-1.3131509
137,2.0865705,-1.258305
138,2.0820234,-1.3131509
139,2.1699066,-1.3323674
140,1.5887827,-1.1021249
141,1.9227016,-1.270444
142,2.0176723,-0.6822147
143,2.0822697,-1.3143333
144,1.7577493,-0.03895663
145,2.2750735,-0.56895417
146,1.9387391,-1.3181908
147,2.083707,-1.316063
148,2.0590134,-1.4557548
149,2.0829954,-1.3152035
150,2.0820234,-1.3131509
151,2.0056067,-1.3338574
152,1.9393003,-1.7416822
153,2.005809,-0.55075824
154,2.0983841,-1.1455538
155,1.9227395,-1.2703913
156,2.1297631,-1.3283285
157,2.1386895,-1.3351324
158,2.112083,-1.2194712
159,2.0820234,-1.3131509
160,2.0429945,-1.3118682
161,2.004927,-1.2108315
162,2.1387362,-0.9281702
163,2.2019362,-0.983517
164,2.0820234,-1.3131509
165,1.8772445,-1.4171064
166,2.0844588,-1.3169795
167,1.9401227,-1.2674767
168,2.0749133,-1.3619373
169,2.076123,-1.3622358
170,2.082102,-1.3135481
171,2.0854614,-1.3057635
172,2.0994525,-1.3218048
173,2.123518,-1.243553
174,2.0933754,-1.31754
175,2.1538198,-1.296092
176,1.9865286,-1.3698727
177,2.0852547,-1.317958
178,2.1856062,-1.1244926
179,2.1902177,-1.1451833
180,2.1858752,-1.1343578
181,2.1029096,-1.1154302
182,2.1515217,-1.4371082
183,1.9135116,-1.2428972
184,1.917452,-1.244393
185,2.0006683,-1.389959
186,2.1856062,-1.1244925
187,2.0083542,-1.3897308
188,2.007605,-1.1955361
189,2.2148619,-0.91090804
190,2.0864377,-1.1859697
191,2.143025,-1.3297279
192,2.08717,-1.2534721
193,2.0086346,-1.3040644
194,2.1847613,-1.1238022
195,2.0105388,-1.3102894
196,2.2402775,-1.2042202
197,2.037546,-1.2791005
198,2.08717,-1.2534721
199,2.009902,-1.3055346
200,2.1847613,-1.1238022
201,2.0105388,-1.3102894
202,2.2402775,-1.2042202
203,2.1498735,-1.6644585
204,2.0820234,-1.3131509
205,1.5784949,-1.0159897
206,2.0820234,-1.3131509
207,2.08717,-1.2534721
208,2.0820234,-1.3131509
209,2.1699066,-1.3323674
210,1.5200763,-1.4162744
211,1.8720781,-1.2408963
212,2.1959553,-0.87181735
213,2.0822697,-1.3143333
214,1.8602649,-1.5662552
215,2.186313,-0.83560234
216,2.5433912,0.45424023
217,2.083707,-1.316063
218,2.039272,-1.3872097
219,2.0829954,-1.3152035
220,2.0820234,-1.3131509
221,2.3271365,-0.5295325
222,2.3274806,-0.5306398
223,2.776231,0.39233553
224,2.0642192,-1.2087349
225,1.8721907,-1.2409365
226,2.1185992,-1.3268418
227,2.1407413,-1.3382382
228,2.0624335,-1.1998986
229,2.0820234,-1.3131509
230,2.0359213,-1.3617392
231,1.964289,-1.2749935
232,2.1504383,-0.8268041
233,2.2695093,-0.9322953
234,2.0820234,-1.3131509
235,1.9692173,-1.3833901
236,2.0844588,-1.3169795
237,1.9148777,-1.2442746
238,2.0539525,-1.3627269
239,2.0539525,-1.3627269
240,2.082102,-1.3135481
241,2.0826726,-1.299018
242,2.0994525,-1.3218048
243,2.1360977,-1.2223179
244,2.0933754,-1.31754
245,2.1767793,-1.2899681
246,1.9424212,-1.3235804
247,2.0852547,-1.317958
248,2.1762714,-1.141304
249,2.181478,-1.1223831
250,2.1760256,-1.1307331
251,2.1145046,-1.2660285
252,2.1529899,-1.4747821
253,1.8817008,-1.28695
254,1.8819823,-1.262567
255,1.9636258,-1.3951153
256,2.1042886,-1.171968
257,1.9890759,-1.3833252
258,1.9328723,-1.2016261
259,2.268937,-0.57766545
260,1.922135,-1.2911925
261,2.159291,-1.3317066
262,2.0877938,-1.2485117
263,2.0050578,-1.3026451
264,2.105129,-1.1718447
265,2.070438,-1.3732744
266,2.283601,-1.1475852
267,2.119532,-1.4643304
268,2.0877938,-1.2485117
269,2.0050578,-1.3026451
270,2.1062534,-1.1735858
271,2.0670145,-1.3730237
272,2.283601,-1.1475852
273,2.7148,-2.4287436
274,2.0820234,-1.3131509
275,1.4058985,-0.9166813
276,2.0820234,-1.3131509
277,2.0877938,-1.2485117
278,2.0820234,-1.3131509
279,2.1699066,-1.3323674
280,1.5278568,-1.5956383
281,1.8335364,-1.3319945
282,2.348157,-1.1727802
283,2.0822697,-1.3143333
284,3.167046,0.045024488
285,2.121793,-0.9396373
286,2.5162368,-0.13725866
287,2.083707,-1.316063
288,1.9915406,-1.3780022
289,2.0829954,-1.3152035
290,2.0820234,-1.3131509
291,2.884829,-0.667887
292,2.6089833,-0.9097602
293,3.049833,-0.25052202
294,2.1522694,-1.2606522
295,1.8344396,-1.334069
296,2.1288674,-1.3305796
297,2.1182227,-1.3174477
298,2.023638,-1.1903582
299,2.0820234,-1.3131509
300,2.0279284,-1.3993374
301,1.945724,-1.2192019
302,2.1537817,-0.75714654
303,2.3062344,-0.8500231
304,2.0820234,-1.3131509
305,1.7978035,-1.3741366
306,2.0844588,-1.3169795
307,1.7549376,-1.3537432
308,2.0160854,-1.3508756
309,2.0160854,-1.3508756
310,2.082102,-1.3135481
311,2.0831294,-1.295852
312,2.0994525,-1.3218048
